Tokens	Score
unfortunate	-4
laughable	0
alienation	-2
accomplishes	4
angering	-4
inspire	5
forgiveness	2
pride	3
keen	3
greed	-4
honor	4
accomplished	4
worthwhile	3
easier	4
cuts	-2
enjoyable	4
grace	4
supporting	4
dignitary	4
ignorance	-3
offended	-2
glory	5
gained	3
faith	4
hatred	-6
failings	-4
yes	4
hand	4
restricts	-3
respected	4
skeptical	-3
troublemakers	-4
confrontation	-3
strike	-1
thanks	4
tragedy	-6
benefits	3
expands	1
improves	4
loses	-3
destroys	-5
shock	-3
wealthy	3
depression	-5
redeemed	3
neat	4
visions	2
weaknesses	-3
ironic	-1
fantastic	5
unhappy	-4
exposed	0
strength	4
highlight	3
clarity	4
innocent	3
firing	-3
forced	-4
encouraged	3
safety	4
lucky	4
obnoxious	-4
bitter	-4
resentful	-4
accident	-4
smug	2
ability	3
prevent	0
admitted	1
guilt	-2
sentence	0
alert	2
broke	-4
corpse	-5
kills	-5
murders	-6
dead	-6
fun	5
support	4
stop	-2
worrying	-3
denied	-4
hopelessly	-4
haunted	-4
empty	-2
totalitarianism	-5
aggravate	-5
hopeless	-4
create	2
retarded	-5
cheerleaders	2
difficult	-3
great	6
love	6
fair	3
problems	-4
tricky	-1
pushy	-2
lose	-4
battling	-2
notorious	-4
rape	-6
drag	-2
rotten	-5
hilarious	4
yep	2
grave	-3
freaks	-1
no	-2
mistaken	-3
war	-5
weaponry	-2
paranoid	-2
thrillers	0
sabotage	-5
helpless	-4
perfect	5
neglected	-5
committing	0
helpful	4
freaks	-1
popular	4
crisis	-6
security	3
madly	-4
terrorists	-6
criminals	-5
attractions	4
ban	-5
engaging	3
clever	4
villains	-6
axed	-3
bully	-4
sick	-5
bullying	-5
fumes	0
convincing	4
marvelous	5
regrets	-3
awards	4
entertained	4
encourage	5
dreadful	-4
important	2
comedic	4
riot	-5
stunned	-1
adequate	2
disappointing	-4
lovely	5
cutie	3
impressive	5
recommend	3
confidence	5
oppressive	-4
easily	3
laughable	0
drags	-1
silly	0
torture	-5
suspects	-3
helping	2
strong	5
recommended	2
despair	-3
share	2
strange	-2
bother	-3
definitely	4
beauty	5
bitch	-5
faithful	4
trapped	-5
determined	3
free	5
vital	2
accidentally	-3
easy	4
trick	0
worn	-2
graves	-2
capable	3
trouble	-4
crap	-3
bargain	2
heroes	5
thank	3
sorry	0
good	4
substantial	2
disaster	-6
brave	5
special	4
surely	4
wreck	-4
ty	3
irritating	-4
awesome	6
sucks	-3
clear	3
honest	5
shocking	-4
beautifully	5
disgusting	-5
forgive	2
definitely	4
like	3
crude	-5
pathetic	-5
reached	1
ha	3
ha	3
lowery	-4
encouraging	5
winning	5
super	5
delightful	5
goodness	4
dignity	4
remarkable	5
revenge	-5
doom	-4
appreciation	5
adventure	3
hate	-5
damn	-4
peace	5
fired	-5
proud	4
casualty	-5
honors	5
brutal	-6
bloody	-4
problem	-4
respects	3
safe	4
murderer	-6
credited	3
yeah	2
promise	3
rapes	-6
cool	3
censors	-2
enjoying	5
murderer	-6
ease	3
fiery	-3
smiling	4
positively	5
limited	-2
trust	5
rotten	-5
critics	-2
block	-4
forgotten	-2
impression	2
intense	0
swear	0
suffering	-4
awesome	6
traumatic	-5
abusive	-6
solve	2
fooled	-3
terrible	-4
trite	-2
gross	-4
ignoring	-4
ambitious	4
dangerous	-4
ferocious	-1
eerie	-3
number	0
weak	-4
awful	-4
stinker	-3
stuck	-2
impatiently	-4
reach	0
celebrating	5
joke	2
dire	-4
interested	4
gentle	4
accuses	-3
molester	-5
attack	-4
sucked	-4
=d	5
misery	-5
savage	-4
horridly	-3
sadly	-4
vested	1
laziest	-5
daredevil	1
ghost	-3
horrors	-5
villain	-5
critic	-2
tired	-4
scares	-3
glad	4
dull	-4
wars	-5
yeah	2
obsession	-3
thanks	4
rob	-5
curious	3
apologize	1
creation	2
distraction	-3
god	2
grey	0
smart	4
loves	5
determined	3
precious	5
mess	-3
natural	3
nicest	4
glamorous	5
attractive	4
friendship	4
struggling	-4
funneled	0
accomplish	4
farce	-4
growth	3
importance	3
caring	4
snob	-4
passionate	5
thief	-5
violent	-5
outrageous	-4
ridicule	-4
pity	-2
smart	4
faults	-4
stupidly	-4
cried	-3
reaches	0
unclear	-2
motivation	3
certainty	2
useful	4
antagonistic	-4
stupidity	-4
chilling	0
boring	-3
worst	-6
bad	-5
bad	-5
deceives	-3
idiotic	-5
fond	4
super	5
intact	2
attacking	-4
losing	-3
shake	-1
fire	-3
enemies	-4
superb	6
challenging	1
inspired	4
madness	-4
festival	4
anger	-5
liars	-5
pissed	-6
excuse	0
attracting	4
uncertainty	-3
intellectual	5
horror	-5
enthusiast	3
energy	2
lethargic	-2
glad	4
peace	5
frustrated	-5
refuse	-2
breathtaking	4
silliness	-2
disgustingly	-5
cutesy	4
witch	-3
worshiping	2
ugly	-5
laughably	2
ludicrous	-3
struggles	-3
favorite	4
snobby	-4
fright	-3
stench	-5
die	-5
prejudices	-4
savage	-4
nuts	-3
propaganda	-2
attracted	4
ignores	-2
depressing	-3
handsome	4
abandons	-3
outrageously	-2
treasure	2
excellently	6
natural	3
distress	-5
barrier	-1
hopes	4
betray	-6
fiasco	-5
guilty	-4
reckless	-4
gift	4
sparkling	2
authority	0
ecstatic	5
jumpy	-2
fascinated	4
romance	5
miserable	-4
fu	-6
suspend	-3
pretending	1
jaded	-3
torture	-5
stopped	-2
questioning	-1
smile	3
loved	5
outstanding	6
terrorist	-6
paranoia	-2
frightening	-4
assuredly	3
ignorant	-2
hiding	-2
safety	4
terror	-5
confident	4
popularity	4
supporters	4
solidarity	2
criticised	-4
pathetically	-4
robber	-5
thrilled	4
fortunate	4
victims	-3
heh	-1
screwed	-4
hurts	-4
crush	-1
steals	-5
unfocused	-4
won	5
supporting	4
relief	4
noisy	-1
sigh	0
uncontrolled	-2
handsome	4
fears	-4
falling	-1
evil	-6
missing	-2
badly	-4
death	-5
terrorize	-6
terrifying	-5
insulting	-4
victims	-3
lame	-4
jealous	-4
madness	-4
advantage	2
win	5
blind	-4
insensitive	-2
ridiculously	-3
idiot	-5
recommended	2
ugly	-5
escape	1
overwhelmed	0
prize	5
warm	2
prevented	0
luckily	5
chuckles	2
nerdy	0
shy	-2
sentimentality	2
depressed	-5
lonely	-3
scare	-4
laughing	4
boldly	3
kidding	1
hacked	-4
destroyed	-4
lousy	-5
embarrassed	-3
bad	-5
screamed	-3
idiot	-5
please	3
degrading	-5
reaching	2
credit	3
awkward	-1
talents	4
embarrassment	-4
crediting	1
misery	-5
worshiped	5
backs	0
pleasantly	4
integrity	3
creatively	3
suspected	-2
disliked	-4
huge	3
woo	4
adverse	-3
promoted	4
surprising	2
idiot	-5
avoid	-2
die	-5
hard	-1
bloody	-4
rob	-5
harassing	-5
misery	-5
comedian	3
pay	-1
supported	3
matters	0
chaotic	-4
melancholy	-4
brooding	0
annoyed	-3
hurt	-5
grim	-5
ill	-4
accept	3
hailed	2
denying	-3
thankfully	4
idiotic	-5
danger	-5
whine	-3
doom	-4
morons	-3
fascination	4
amazing	5
evil	-6
youthful	3
glee	6
complacent	0
damage	-4
clean	4
frisky	2
festivals	3
irony	0
obliterate	-5
disregarded	-3
severely	-4
sinister	-5
fabulous	5
disappear	-2
sadly	-4
desire	4
stunk	-3
lowers	-1
liveliness	3
charms	4
romantics	4
cheating	-5
censors	-2
careful	1
overlooked	0
critical	-3
merit	4
profits	4
menaced	-4
toughs	-2
solemn	0
defeat	-4
proudly	5
satisfying	4
poor	-4
sharing	4
festivities	4
smiles	4
screaming	-3
freak	-4
awkwardness	-1
hysterics	-4
rebellious	-2
regrettable	-5
delicate	0
passion	4
ignored	-3
happily	5
tragic	-4
favour	4
pride	3
prejudice	-5
mature	4
giggling	3
scream	-4
raging	-5
weakness	-4
ineffectual	-2
wicked	-5
fools	-4
deprived	-4
retard	-5
comedy	3
friendly	4
calm	3
trustworthy	5
powerful	4
greater	3
impressively	4
blind	-4
improvements	3
excellency	5
stupidest	-5
chance	2
enthusiastic	4
dreary	-3
alright	2
pleasurable	5
delightfully	5
kidding	1
ensure	3
party	4
care	4
broken	-4
underestimated	-2
excellent	5
rude	-4
distorting	-2
greatest	6
abhorrent	-6
empathetic	4
criminal	-5
hell	-6
no	-2
worthless	-4
virtue	4
derision	-2
contempt	-5
accidental	0
boring	-3
sunshine	4
drop	-2
prick	-3
grants	2
dumps	-4
granting	3
wishes	1
keen	3
fulfilled	4
happiness	5
innocence	3
grant	3
repetitive	-2
intelligence	4
confronted	-2
moody	-3
well	2
interesting	4
upset	-3
mistake	-3
dreams	4
amused	4
elegant	4
egotistical	-2
harmony	4
elegance	4
mistakes	-3
attraction	4
joker	1
adventures	3
nicely	4
alright	2
justice	5
strong	5
villains	-6
sure	3
witch	-3
like	3
wise	4
escaping	0
betraying	-5
thankfully	4
horror	-5
surprises	2
sullen	-4
dead	-6
haunted	-4
dynamics	2
catastrophic	-4
hysteria	-4
partying	3
bully	-4
crap	-3
rant	-3
exhaustion	-3
appalling	-3
criticisms	-2
incapable	-3
hateful	-4
certainly	3
promising	4
embarrassingly	-4
risky	-2
despises	-4
racist	-6
assholes	-5
fascists	-2
fascist	-5
boredom	-3
argument	-3
bittersweet	0
heaven	5
failure	-5
shameless	-3
destroying	-5
promoting	3
pitiful	-4
fit	3
stupider	-5
gratifying	5
missed	-2
exciting	4
determination	4
sluggish	-4
stealth	0
swift	2
abilities	2
obstacles	-3
foolishly	-4
weapon	-2
menace	-4
disguised	-2
death	-5
adversaries	-2
battles	-3
innovation	3
admit	2
flawless	5
richer	5
expand	3
restore	2
courage	4
agree	3
murderers	-6
convinced	4
painful	-4
fave	4
damned	-3
relaxing	4
active	4
focused	3
disturbed	-3
impress	4
shook	-1
fright	-3
inadequate	-4
worse	-4
dreaded	-5
bomb	-4
gun	-3
suspect	-2
kudos	5
united	4
attacks	-4
cruel	-5
insane	-4
god	2
sin	-5
devil	-6
freedom	6
afflicted	-3
legal	1
wealth	4
deceitful	-4
cruelly	-5
abuse	-6
selfish	-4
drained	-3
vile	-6
amaze	5
indecision	-2
passions	4
revengeful	-5
furious	-5
impotent	-2
opportunity	4
damnation	-5
risking	-3
optimistic	3
prosperous	4
compliment	4
aboard	0
darkness	-2
stereotype	-3
desirous	3
promise	3
liberty	5
humiliating	-2
violated	-5
optimism	5
disparaging	-4
shared	3
cherished	5
accepted	2
heavenly	6
immoral	-4
dominating	-2
secure	3
destruct	-5
rigid	-1
nifty	4
illegal	-5
shamelessly	-3
bores	-3
terrible	-4
severe	-3
ludicrous	-3
precious	5
perverted	-5
wise	4
suffer	-5
grant	3
agrees	2
freakiest	-3
freaky	-3
party	4
disturbing	-5
trouble	-4
arrogance	-5
top	2
loyalty	5
glory	5
destruction	-5
beaten	-4
respectfully	4
dear	3
admiral	3
warfare	-2
favor	4
enemy	-5
warship	-1
engages	2
charmed	4
hurtling	-3
joy	5
reluctantly	-1
infected	-4
tense	-3
masterpiece	6
heroes	5
brilliant	5
creative	4
angry	-5
pretends	-1
lazy	-3
kudos	5
inspires	4
honor	4
perplexed	-3
fatally	-6
hardy	4
graves	-2
interests	2
perfection	5
thieves	-5
warmers	2
healthy	4
happy	5
palatable	3
scared	-4
adorn	2
misses	-2
pretty	4
insults	-4
yep	2
moron	-4
please	3
likes	4
thieves	-5
mercy	3
pardon	3
strongly	2
dislike	-3
allow	2
annoys	-4
warned	-2
fight	-3
shitty	-5
entertainer	3
contradictory	-3
sorrow	-5
pity	-2
disorder	-4
wreck	-4
avoided	-3
festival	4
bravely	5
gorgeous	6
beloved	5
fight	-3
welcome	4
please	3
bitching	-2
strange	-2
loved	5
worship	2
god	2
winner	5
acceptance	4
fulfill	4
humorous	3
thoughtful	3
asset	3
gain	5
kia	-6
mia	-2
clearly	4
struggled	-3
scorn	-4
eager	3
flattering	3
faultless	4
radiant	4
devilish	-4
cries	-4
costly	-1
nice	4
harsher	-4
contend	0
suspicion	-3
disguise	-2
murdered	-6
creation	2
murders	-6
startled	-1
liability	-2
undermines	-3
harm	-5
misunderstanding	-4
avoiding	-3
capable	3
pensive	0
amazed	4
foolish	-2
arrogant	-4
sobbed	-4
devoted	4
frustration	-4
difficulty	-3
disgrace	-4
discard	-2
greedy	-3
violent	-5
special	4
friend	4
peaceable	4
losers	-5
disappoints	-3
crime	-5
excuse	0
ruined	-4
sucked	-4
bold	3
adventurer	2
tops	5
brilliant	5
yay	5
solved	2
confront	-1
racism	-6
offensive	-4
ok	2
mistaken	-3
critical	-3
damage	-4
destroyers	-5
insignificant	-3
haha	4
adorable	4
funniest	5
meh	0
pleasure	5
wisely	4
resign	-3
evil	-6
feud	-3
strained	-4
sweet	4
horrific	-6
exhausting	-3
sentenced	0
insanity	-5
punished	-4
committed	2
ominous	-3
benefices	2
petrifying	-5
supportive	2
cocky	-1
grand	4
wow	5
vibrant	5
blame	-3
confusion	-2
lowe	1
totalitarian	-4
threat	-5
crash	-4
shaking	-1
mediocrity	0
fan	3
enthusiasm	4
sorry	0
unpleasant	-4
desperately	-3
surprises	2
holiday	4
value	3
sore	-3
lovely	5
impresses	4
abandoned	-4
fun	5
safely	4
competent	3
appreciated	5
interested	4
granted	2
casually	1
alarming	-1
dynamite	1
sentences	0
angered	-5
criticism	-4
fool	-4
grandeur	5
misleading	-4
weakest	-5
forgiven	3
subversive	-2
ass	-5
excellently	6
challenges	0
prize	5
dear	3
chuckle	4
alas	-2
repression	-3
screwing	-2
rapist	-7
screws	-2
heartless	-4
succeeded	4
indifference	0
lost	-3
desperate	-3
hope	4
favorites	4
jovial	4
talentless	-3
fame	4
triumph	4
rapturous	4
fatalistic	-2
dedicated	4
convincingly	3
strikes	-3
dangers	-4
risk	-2
weirdest	-2
corpse	-5
lying	-5
stabs	-4
incompetent	-4
weapon	-2
damns	-4
best	6
warning	-3
dead	-6
cynical	-3
questionable	-2
mockery	-3
crying	-4
disheartened	-4
irony	0
tortured	-5
threatening	-5
fatal	-5
greet	3
abuse	-6
suffered	-4
stab	-5
definite	2
gag	-3
disturbed	-3
deceive	-4
loyal	4
grateful	4
feeling	1
regretted	-3
degrade	-4
better	4
degrades	-4
strike	-1
dumped	-4
panic	-5
duped	-4
dumbest	-5
teases	-2
disappoint	-4
paradise	6
unprofessional	-5
heartbreaking	-4
harmless	2
clueless	-3
defense	1
intelligent	4
harmonious	4
reach	0
hysterical	0
interesting	4
hurting	-4
doubt	-3
idealized	4
fire	-3
inspirational	5
protected	4
fearing	-5
enjoy	4
succeeded	4
deceived	-4
failing	-5
chilling	0
brave	5
pleased	4
irritatingly	-4
lurking	-1
warn	-1
pisses	-3
rash	-4
hesitancies	-2
efficiently	4
value	3
rescue	5
panicked	-4
hoped	3
errors	-3
enjoyment	5
coward	-4
detached	-1
unloved	-4
comfortable	5
cared	4
bitchy	-5
coward	-4
curious	3
imposing	-1
likes	4
respectability	5
romanticized	2
romanticism	4
raging	-5
demanding	-2
committed	2
obsessive	-2
seriousness	0
succeeds	4
agreeable	4
effectively	4
attractively	4
thief	-5
dumb	-5
dumber	-3
lied	-3
miss	-1
punishing	-5
poverty	-5
respectively	3
fantastic	5
praise	5
join	2
supports	3
heartbreak	-5
chastising	-4
nonsense	-4
cheering	5
weeping	-4
withdrawal	0
troubles	-4
heroic	5
grim	-5
honesty	4
impressionable	0
vain	-4
idealistic	4
starved	-5
adopts	1
dulled	-3
irrational	-3
meditative	3
graceful	4
rejection	-5
crazed	-1
liar	-5
exposes	-1
bullshit	-5
distrust	-4
integrity	3
refusing	-4
friendships	3
stop	-2
fear	-4
ruined	-4
suspended	-4
damaged	-4
hugged	4
huggers	4
irresponsible	-4
feeble	-2
undesirable	-4
brightest	6
shocked	-3
shocked	-3
perverse	-4
worry	-4
prison	-5
liberty	5
faithfully	4
praised	4
ideally	4
fondness	5
indestructible	1
sadness	-4
suicidal	-6
graver	-2
discouraged	-4
censor	-4
disagree	-3
playing	2
champ	4
stifled	-3
celebrated	5
arrested	-4
prominent	3
graces	3
exclusive	1
champion	5
delicious	5
charges	-2
admirably	5
repulsed	-4
amusing	3
securely	3
championship	4
exaggerated	-1
wins	5
debt	-3
provoking	-2
tragedies	-4
glamor	4
loose	-3
assets	1
stopping	-1
bastards	-6
noble	4
fav	4
outrageous	-4
loner	-3
beautiful	5
obnoxiously	-5
horribly	-5
infatuated	0
jealousy	-3
hostility	-5
suspicions	-3
beating	-4
worried	-2
illness	-4
unhappy	-4
happier	5
heroes	5
assures	3
superiors	2
united	4
solution	3
peculiar	1
liberties	5
lover	5
shocks	-3
flunk	-3
distract	-2
tragic	-4
spiteful	-4
hater	-4
exposing	-2
rebel	-1
arguably	-2
excels	5
discounted	0
arrested	-4
classy	4
entertains	5
trap	-3
screaming	-3
sarcasm	-2
panic	-5
screams	-2
jerk	-3
overstatement	-2
swearing	-2
freak	-4
attract	3
horrendous	-5
dream	2
compelled	0
charming	5
warming	1
valuable	4
smugglers	-3
smuggle	-3
scarecrow	-2
scarecrow	-2
heartfelt	5
lighthearted	4
dignified	4
block	-4
problem	-4
suspiciously	-4
joking	2
suspicious	-3
touting	-1
horrifically	-5
abused	-5
enraging	-5
humiliated	-3
suck	-4
travesty	-5
inaction	-2
villainess	-5
cowardly	-3
assure	3
restored	3
dick	-5
glorious	6
beauties	5
award	5
romance	5
honored	5
comedy	3
survivor	3
ideal	5
attraction	4
darling	5
snubbed	-4
fair	3
embarrassing	-3
flop	-3
ineffective	-1
woo	4
successes	5
desperation	-4
injured	-4
dazed	-1
funny	4
cute	4
decaying	-4
entertainment	4
trusted	4
undecided	-2
jewel	3
killing	-6
superior	5
truest	4
pay	-1
loser	-5
pleasant	5
smart	4
strongly	2
succeeding	4
admirable	5
avid	2
blocked	-2
weirdo	-4
cruelties	-5
amusement	3
panicky	-3
disappeared	-2
compelling	2
thriller	1
villainously	-5
punishment	-4
agonizing	-5
virtuous	5
thwarts	-1
stabbed	-4
unfair	-4
vicious	-3
invigorating	4
painful	-4
tits	-2
satisfy	4
libertine	-2
libertarian	2
easy	4
succeed	4
advanced	2
rebels	-2
nasty	-5
meaningful	3
accomplished	4
delighted	5
silliest	2
interrupting	-2
blame	-3
charm	4
avoid	-2
perfectness	6
pathetic	-5
solid	1
sincerely	4
wasting	-4
cuties	4
dragged	0
trap	-3
intricate	1
recommended	2
grand	4
dupe	-3
justifiably	2
dead	-6
unsure	-2
fan	3
adventure	3
missing	-2
diamond	3
excite	4
adventure	3
nerd	-2
applaud	4
enjoyable	4
awesome	6
hesitation	-2
escapes	1
sin	-5
difficulties	-2
idealism	4
sweetheart	6
distressful	-4
killer	-6
stop	-2
trapped	-5
amazing	5
disturbing	-5
warning	-3
thieves	-5
diamond	3
dynamic	3
crushed	-4
grief	-4
ethical	5
grey	0
overjoyed	5
dirty	-4
neurotic	-3
cheat	-4
creativity	3
neuroticism	-2
depressing	-3
stimulated	2
insulted	-5
imbecile	-4
successfully	4
uncomfortably	-4
ludicrously	0
dirt	-3
threatened	-4
bullied	-6
rewarded	4
horrifying	-5
axe	-1
fighter	1
chaotic	-4
anxiety	-1
marvel	4
resents	-2
stops	-1
impose	-2
dwelled	1
anticipation	1
boredom	-3
crash	-4
surprise	2
winners	4
awards	4
snobs	-3
competitive	1
freeman	4
raging	-5
controversial	-2
beautiful	5
terrified	-6
safe	4
interestingly	4
bothered	-3
moronic	-5
dumber	-3
luckily	5
original	3
haunting	-2
wish	4
peacefully	5
significance	2
shattered	-4
tragedy	-6
curse	-5
starving	-4
glory	5
kiss	4
arguments	-4
embarrassing	-3
better	4
emptiness	-4
dumbed	-3
applauding	4
eagerly	3
awaited	0
dissatisfied	-3
despondent	-4
bless	4
drowned	-5
pains	-4
desirable	3
superiority	3
stunk	-3
clearly	4
parties	4
dislikes	-4
enjoy	4
cheerleader	2
forbid	-3
vague	-1
silly	0
graveyard	-2
graves	-2
dynamism	3
whimsical	0
stalling	-2
fondly	4
haunt	-4
convince	2
bother	-3
trusty	4
diving	0
dominance	2
flops	-3
lies	-4
boost	4
fakes	-4
robs	-4
stutters	-2
lowe	1
brisk	1
assurance	3
nifty	4
nicely	4
complimentary	4
perfectionist	3
contradicts	-3
agreeing	3
pretend	-1
complain	-3
wow	5
doubtful	-3
amazement	5
hid	-1
best	6
cheats	-4
friends	4
anxious	-2
poverty	-5
annoying	-4
horrified	-5
horror	-5
innocent	3
passion	4
dread	-4
manipulated	-3
heavens	4
magnificently	6
gossiping	-3
spirit	1
well	2
top	2
perfecto	3
disturbance	-3
condemned	-4
failures	-4
temper	-4
blocks	-2
contradictions	-3
resolved	1
best	6
heroin	-4
shaken	0
interrupted	-2
refused	-2
damned	-3
damned	-3
destroyed	-4
wept	-4
lol	4
rescued	4
carefully	1
clean	4
strengthened	4
stimulate	2
darkness	-2
killer	-6
methodical	1
thrills	3
stronger	3
trivial	0
celebrate	5
celebrates	5
favorable	4
entertaining	4
woefully	-4
dumbly	-3
praises	5
alive	3
convinces	1
surprisingly	2
tricked	-1
freed	4
positives	5
needy	-3
amoral	-3
maniac	-4
agreed	2
giggle	4
cancer	-6
progress	4
shyer	-2
shyness	-3
hate	-5
leave	0
jealousy	-3
original	3
murdering	-6
adequate	2
wells	2
weak	-4
insipid	-4
survived	5
damning	-3
engage	3
stereotype	-3
forgiving	4
keener	1
warmer	2
sprightly	4
seriously	-1
amuses	4
irritable	-4
impatient	-2
assassination	-5
bias	-1
oppressed	-4
peace	5
mourning	-4
relentless	0
deliciously	4
fame	4
yummy	5
devastation	-4
passionately	5
crazy	-3
beneficial	4
rebel	-1
raped	-6
joyous	6
enjoyably	4
exuberant	5
excellence	6
cynicism	-4
insignificant	-3
grandest	5
magnificent	5
